0,1,2,3,4,5,6,7,8,9,10,11,12,label
-637.2909,126.83149,24.159908,-6.7126727,-6.5943856,-9.115342,-1.6331148,2.504541,-4.172821,-8.591866,-7.4221296,-2.4125304,-0.7877054,normal
-387.9337,52.634335,-24.877417,3.0003793,0.94162357,-8.92937,0.37313032,-1.2073827,-8.068079,-3.310695,-5.802397,-4.158723,-0.37696147,normal
-1096.5739,14.944887,-4.0009437,0.78566617,1.6145985,-1.6223668,0.29763025,0.06965302,-2.197053,0.05857506,-0.13761193,-1.5199436,-0.6949294,normal
-465.66843,52.79941,3.7421956,-1.7374772,3.281232,10.007716,-2.7385657,2.646971,-5.3876123,0.19915196,-0.7906147,3.1695778,0.662838,normal
-486.9878,59.90176,12.620981,8.454273,8.6873255,13.943066,1.0259299,2.2852235,-0.13924533,2.3404863,1.1329991,3.3714893,5.5616794,normal
-332.15457,79.11807,-32.923386,-3.7192762,-36.530994,-24.651335,8.886558,10.076253,-10.057558,5.044745,-1.3001469,-9.904733,-5.800709,normal
-560.93225,18.505947,1.454531,-4.714973,-2.2775042,-1.5104824,-2.4402618,-1.5140973,-0.55386233,-0.64580655,0.6128279,2.4583082,1.7150112,normal
-438.65503,64.22506,-1.1777114,10.773704,2.359022,-8.967651,4.6306887,-1.9601872,-4.6840687,2.738934,-5.4101224,-3.3149838,1.6229665,normal
-370.04474,115.69883,15.0240345,15.256638,16.388924,18.593775,-16.424337,-15.415676,-6.888208,-19.141745,-13.1423435,-16.764221,-8.955278,normal
-496.76578,23.811335,-3.4830961,4.051683,1.2129886,-6.1736126,-3.1848962,-5.839452,-5.9313774,-2.778875,-5.5254736,-4.498688,-3.1193094,normal
-467.24847,63.26007,23.109806,5.0487113,4.7954283,4.387898,1.6006967,-2.5842566,-7.365685,-7.837321,-4.8926115,-4.5320683,-5.8782315,normal
-970.66766,35.693832,-3.7372425,12.18546,5.3915534,-1.2401611,6.01421,1.4753691,-0.9057376,3.4395428,-1.312149,-0.40615618,0.9339544,normal
-583.5823,106.224075,-21.740688,6.1800523,-0.91671854,-18.81666,6.487857,-7.793958,-12.167925,8.6115055,-5.3836455,-10.181814,-3.1529796,normal
-498.2209,36.75301,-1.3134928,4.89802,6.1191173,-1.9450264,-2.0741105,-3.6207664,-4.747004,-3.7784655,-3.5533464,0.03187788,1.1606268,normal
-486.95477,54.609276,-30.24904,-2.3939092,-4.8627334,-9.648625,8.982876,-9.300734,-13.928666,-0.03206574,-5.197952,0.2098796,2.4728541,normal
-510.748,47.436558,-3.2451797,5.4692283,1.600155,-6.071179,0.73022866,-4.2327595,-4.8932447,-1.2323021,-5.3743377,-2.2888954,-0.22449167,normal
-436.98218,74.82798,-32.76708,10.145952,9.063795,-15.6996565,3.5750535,-4.394415,-11.58345,0.14168566,-6.3469734,-6.8431373,-3.5813339,normal
-447.11932,79.11866,7.874082,20.676817,3.4361897,-10.405487,6.3128386,-9.888829,-14.100988,4.992306,-5.798066,-9.251018,3.9325767,normal
-673.118,21.20981,-11.248951,2.2533844,1.7251226,-2.5361416,2.0724804,-1.7169602,-0.3507687,0.40133306,-3.3128622,0.87569624,0.78954685,normal
-509.0188,48.5592,3.9041035,0.32036912,-11.242784,3.34901,-10.74285,1.7771373,-14.599033,-6.8088374,-7.6858344,-1.0354793,-7.285842,normal
-483.17706,37.40075,-6.0752535,-6.702976,-1.5331198,-3.6740682,0.5560805,-0.28479204,-4.9083595,-2.3280818,1.2293451,1.8084239,0.12721823,normal
-504.28522,32.102577,-17.01251,4.9266024,-0.6216978,-7.652627,5.4753227,-5.1126795,-9.049925,-2.179114,-7.756984,-1.5838275,4.4762335,normal
-86.413826,139.92471,3.8784192,30.387192,-11.755861,21.12991,-9.239221,17.042267,-6.25613,22.9403,3.0745866,18.524023,4.7772946,normal
-633.8252,28.955595,-6.1279297,2.2200606,0.79010224,-3.163661,1.8668696,-2.449741,-1.1444899,3.5104377,-1.0005385,-2.130477,-0.93109375,normal
-498.71594,19.571901,-5.0268607,-3.8998165,-1.5666176,-4.71005,-3.8783467,-0.732343,1.1610795,-0.2676902,-2.5041695,-0.5472387,0.68213147,normal
-557.8309,15.853832,-2.830429,1.583925,2.3168044,-2.0953412,0.24623783,0.5438628,-1.6949787,-1.0953064,-0.09936511,0.32657892,-0.3065751,normal
-484.6986,40.732216,-10.203585,2.362052,4.3374414,-7.540901,-1.0068109,-1.1268013,-5.2737064,-1.5912781,-4.313877,-6.3631973,-2.7480702,normal
-487.92078,58.894787,-10.035073,16.93351,-1.8271183,-15.306439,11.141598,-3.5457587,-11.406247,1.1952702,-12.6174,-10.346161,1.8874668,normal
-430.93524,36.09055,-6.0071735,4.6720695,-1.8051283,-5.3319654,5.3917713,-4.2132707,-6.224941,-0.20178922,-6.968267,-3.7150464,0.82179356,normal
-547.13007,41.640045,-5.136628,0.5857843,2.2187078,1.0504769,4.316021,-5.1183743,-6.0709953,-1.6510887,-5.1426735,-2.0752106,0.09900214,normal
-451.6357,120.224754,21.807585,-8.449949,-16.536976,-28.877518,-23.37532,-16.111805,-17.828276,-15.747303,-10.947153,-6.5289326,-3.467162,normal
-500.60007,67.20476,-18.646694,-14.572519,-2.5623822,-2.9162955,5.0288143,-2.3855035,-8.61661,-4.3717613,-6.957139,-1.3829842,5.4975634,normal
-663.6174,31.247402,7.7230735,31.384953,8.233242,-9.030583,9.568431,-2.502716,-11.112286,3.536989,-3.4855297,-6.9600434,3.3574872,normal
-967.5666,4.6651525,-0.27441332,0.95570195,0.4670066,-0.3751976,0.2872237,-0.0120939715,-0.17393196,0.3468831,-0.20453256,-0.30288333,-0.022150747,normal
-451.8922,35.94743,-5.775282,0.21582733,2.8848953,2.5753868,0.32934448,-2.3769958,-2.9983742,-1.7024798,-2.9862049,-2.7816646,-1.260164,normal
-437.62796,52.80469,-14.939522,10.920233,9.520291,-6.058819,2.5546937,-6.661129,-13.086995,-8.029267,-9.031657,-3.0327265,-4.91281,normal
-532.5155,42.361473,-35.19606,-3.1030326,-2.065758,-5.6691294,1.927173,-2.8495831,-4.722896,-6.861671,-4.964373,-1.7261866,2.0622385,normal
-379.38446,86.3325,-25.979616,2.6415448,-1.582619,-22.950796,-0.49578202,-4.934909,-9.16766,2.7663999,-10.3877125,-10.226831,2.1274686,normal
-451.02115,70.64271,-35.57749,0.030321518,10.304565,-14.419223,-8.673753,-12.911176,-10.734815,2.473301,-6.4889064,-6.309685,3.9104412,normal
-468.77777,61.656418,5.4461203,3.5638087,11.10325,9.739269,6.2128654,-2.50715,-3.4108355,-1.947885,-6.5812516,-4.5751414,-1.7749479,normal
-397.05966,96.76276,26.456165,6.175089,-2.074143,9.59346,5.9760113,4.2062545,3.6085668,2.5766814,-4.4903474,-4.7068806,-6.2511845,normal
-521.72296,24.37145,-2.3308272,5.9173555,-3.903663,1.0805193,0.029419696,-0.277217,-2.4076653,-2.6324852,-2.4632742,-0.7232048,-0.52522224,normal
-418.1513,59.42898,2.2788696,9.953478,-2.9083502,3.3241563,-4.02357,0.5067885,-0.7594593,-6.332484,-10.7268715,-8.997119,0.83017474,normal
-534.28546,15.141386,1.1688954,1.9252123,1.5354128,-0.5329073,0.7692317,-0.19665931,-1.2211254,-0.26535353,-0.24625912,-0.14548941,-0.1170136,normal
-408.62256,80.90938,-15.415353,12.423469,1.5411404,-17.158018,2.1982925,-6.6992054,-8.58328,-1.258414,-13.220898,-4.0762935,3.0700238,normal
-512.8633,33.65364,-15.601796,11.236956,-1.0502106,-8.569801,8.1048765,-6.1430607,-8.011441,0.3291305,-8.976375,-3.8237107,0.887952,normal
-415.58316,100.10275,-30.454868,0.61282474,7.000019,-21.372131,-2.7648368,2.4795113,-6.2546344,-1.778842,-5.853405,-4.856316,-3.3161335,normal
-733.3182,139.02344,-51.179832,-21.81301,11.236477,-11.34497,-16.77242,-12.545713,-18.10496,-11.055567,-17.237486,-2.0704715,5.353397,normal
-440.32693,81.45108,-20.850426,3.0421352,7.3927536,-10.895145,-0.6699474,-7.3759704,-11.142452,1.3876674,-2.4766707,-5.499833,-1.3872584,normal
-417.32004,59.720314,-13.022111,-0.7655913,0.0795541,-7.470409,5.0611124,-2.203096,-9.301053,-2.3434234,-6.1818066,-6.123335,-0.90437067,normal
-421.90515,72.24833,-16.289083,2.1172276,-3.3875484,-12.49677,2.9999025,-10.664962,-14.404618,-3.8212924,-10.888236,-6.602001,-1.2752941,normal
-459.90567,59.494644,-13.431921,13.354208,1.9723959,-16.41149,2.37095,-1.3320895,-5.7664614,-2.9839842,-11.244965,-3.5843835,1.6368564,normal
-461.13104,106.77055,-9.238313,23.054037,4.707364,-18.20831,12.400191,-4.7862186,-15.640772,7.9595375,-3.415512,-11.707566,-1.3766761,normal
-811.8105,45.40766,-17.084986,-4.027675,-4.9786167,-9.826432,-1.8256261,-8.94167,-5.1003623,2.0853548,-4.19303,-1.1111149,0.47455636,normal
-638.66425,72.609924,-51.26241,14.075882,7.954241,-42.748383,-23.978762,-17.396864,-14.923424,-2.116682,0.13529913,15.455133,3.3787205,normal
-407.70865,61.093697,-27.809414,1.4249053,3.1435633,-8.717302,5.3430686,0.74256665,-5.681403,-1.8231646,-3.5763898,-3.2556922,-3.8404994,normal
-1120.4371,4.8152194,-0.3006199,0.75126904,0.39123902,-0.554213,0.18467814,0.17322148,-0.33966804,0.1578619,-0.15368992,-0.22218387,0.06755185,normal
-524.73663,41.39904,12.715408,10.492635,3.6038358,8.107992,3.794064,3.8502765,2.3465776,-0.90466493,-1.847412,2.7810242,2.9971478,normal
-559.1531,19.778606,9.775241,10.834067,7.867341,5.38646,6.9147267,4.7037735,2.9681914,3.071439,1.8272679,1.8606004,1.5282974,normal
-433.02747,71.99088,-11.6913,-4.76333,-7.1953497,10.274527,4.7759137,-6.9442563,-3.80615,-7.9379206,-2.332393,-6.084459,-4.674625,normal
-469.33972,52.467354,-9.22655,-7.9946084,-1.0722393,-1.1558585,4.576536,0.9456412,-1.7301431,1.6553952,0.17718337,0.86575717,0.19622666,normal
-480.79666,85.37312,-67.24604,-14.363517,12.447293,-15.127466,-1.0135593,-8.529582,-23.510347,-10.39771,-11.483932,-8.431908,2.0235498,normal
-320.2818,129.92749,-18.379015,-7.405843,-27.319653,-11.325344,-11.459651,-13.403424,1.5101309,-13.289107,-9.139548,-2.6769927,-1.43369,normal
-662.13574,16.112625,5.6588573,0.8920512,-0.88352525,-1.6409161,-1.2128413,-1.0965099,-1.0133649,-0.98812836,-1.5720305,-1.5761807,-1.2069114,normal
-378.5701,94.25673,-38.90193,-4.877074,5.6484027,-20.347523,-6.632985,-9.903074,-16.702461,-3.996892,-7.1214004,-9.0117445,-4.7499137,normal
-428.32785,52.03928,-40.363556,-8.440899,2.714862,-14.605058,-2.1858032,-4.216796,-10.15365,-1.8849055,-6.200589,-3.5018027,4.816421,normal
-442.48996,44.732944,-10.948588,-0.6548038,2.4794767,-8.9124565,-1.3097266,0.9789306,-4.578307,-5.5673003,-9.010426,-7.5502954,-4.010988,normal
-515.58813,37.576897,-14.367188,-1.0329509,-0.9608855,-6.2181296,0.7202318,-6.3773956,-6.257639,-0.49757254,-4.033817,-0.50916696,-1.3797393,normal
-358.06726,62.00966,-10.542495,6.605833,-23.825525,-9.511816,5.23354,-7.4591794,-19.198406,-4.0524344,-7.767379,-6.3177757,-5.148212,normal
-885.4373,78.04504,-23.656082,2.1459658,13.118626,-0.034430925,-1.1888359,4.2694793,-0.565323,0.78596306,-4.793181,-0.6680564,0.09176096,normal
-405.4855,71.22858,-24.53672,9.772331,8.71331,-14.425856,2.676869,-2.3647995,-12.3614645,-5.911953,-9.302457,-4.139538,0.8918534,normal
-501.4855,27.317808,-2.988868,5.1411614,-0.09908254,-2.1979387,3.7311761,-4.18477,-2.900584,1.8516874,-3.2109735,-0.6870427,0.71196175,normal
-529.00305,35.705566,-1.6728535,9.734185,2.4183245,-4.0087495,4.098246,-5.717635,-9.365505,-4.43757,-10.138957,-6.79306,0.056958847,normal
-497.14676,74.691536,-8.84207,-5.831702,4.855841,13.29048,6.1071215,-3.183472,-6.7346053,-1.9874089,-1.3576145,-1.3159143,2.7892804,normal
-614.0048,27.97182,-16.619411,-0.38783276,1.0799397,-4.928536,4.169473,1.0276365,-2.930854,-2.416042,-5.2379827,-0.6168697,0.97457963,normal
-916.27704,40.2695,-15.574522,7.3131657,9.654036,-3.2165396,3.0287895,2.853254,-1.3037406,2.071344,-0.971432,-0.05186998,2.152616,normal
-436.38464,49.70974,3.7274086,5.0474243,6.4584465,7.8825674,-6.9367867,8.717307,-5.39192,2.2411551,-4.8249383,2.7957482,-8.0579815,normal
-437.43295,58.6524,-3.9605463,15.096476,11.776057,1.0937529,9.358349,-7.8793955,-12.892748,3.2796054,-4.729769,-10.21104,-1.7641587,normal
-513.6707,44.749046,3.164418,15.968942,7.5021067,2.0442932,11.587474,1.8186312,-0.41128695,2.8329844,-3.6154206,0.3013678,1.2870983,normal
-544.5853,78.81539,8.564673,7.0704656,-18.991552,-22.806993,1.105578,-16.190784,-23.382353,-6.5141726,-8.195754,-8.393937,-6.5157986,normal
-466.0043,42.52314,-14.193626,-2.5586991,-0.60743463,-8.588609,1.5195355,-1.1152769,-8.129123,-3.1179276,-0.39611793,1.3068526,1.5074555,normal
-483.0444,41.33032,16.455414,11.835851,6.5746255,-0.29262635,1.7220604,1.6904253,-2.5830774,-3.4495609,-2.6805818,-1.9383233,-1.3146313,normal
-771.6494,116.67233,-11.995702,25.000666,15.277532,-10.375805,1.5406476,-3.7656,-9.455798,6.980792,-7.684966,-5.1035805,0.44064954,normal
-417.8172,95.605644,3.2016754,-0.50471973,-3.2033124,-8.8808565,1.1927662,-6.587692,-10.172751,-3.2541203,-6.984939,-6.326914,-3.8363795,normal
-359.9407,100.49415,-44.46105,-0.3114735,-0.31088373,-14.82955,10.25735,-9.5003805,-14.37838,-1.930092,-13.671616,0.8140443,10.830856,normal
-424.76608,123.85961,2.8790627,-5.499984,-2.038709,-7.2656064,-5.616566,-13.770694,-6.6093636,-2.7363324,-17.077377,-13.434891,-3.569333,normal
-393.22607,89.33202,-13.739693,6.89851,13.701194,-1.7711232,2.1374664,-3.7893584,-4.774501,-6.169037,-11.876744,0.6838204,1.4566522,normal
